State_variable_name_and_unit,Time_instance_1
Time__days,0
Product_stream_mass_flow_in_time__kg_per_s,17.1452591721865
Distillate_bottom_stream_mass_flow_in_time__kg_per_s,3.18662496854148
KO2_gas_stream_mass_flow_in_time__kg_per_s,0.105566617080043
KO2_gas_stream_molar_fraction_of_CO2_in_time__unitless,0.736186421588176
KO2_gas_stream_molar_fraction_of_CO_in_time__unitless,0.0375355601266822
KO2_gas_stream_molar_fraction_of_H2_in_time__unitless,0.182922174587592
KO2_gas_stream_molar_fraction_of_H2O_in_time__unitless,0
KO2_gas_stream_molar_fraction_of_CH3OH_in_time__unitless,0
KO2_gas_stream_molar_fraction_of_N2_in_time__unitless,0.0433558436975499
Purge_stream_mass_flow_in_time__kg_per_s,3.72039980309201
Purge_stream_molar_fraction_of_CO2_in_time__unitless,0.0159713855812079
Purge_stream_molar_fraction_of_CO_in_time__unitless,0.0206354891107638
Purge_stream_molar_fraction_of_H2_in_time__unitless,0.779121519406975
Purge_stream_molar_fraction_of_H2O_in_time__unitless,0.00074588937940183
Purge_stream_molar_fraction_of_CH3OH_in_time__unitless,0.0041646289864626
Purge_stream_molar_fraction_of_N2_in_time__unitless,0.179361087535189
Net_heat_consumed_per_kg_of_methanol_produced__kJ_per_kg,-5128.87889316656
Net_electricity_consumed_per_kg_of_methanol_produced__kJ_per_kg,859.650427756816
Molar_methanol_yield_based_on_CO2__unitless,2.89716789856894
Molar_methanol_yield_based_on_H2__unitless,0.996787836430712
Molar_conversion_of_CO2__unitless,0.947884869766252
Molar_conversion_of_H2__unitless,0.775293847754458
Molar_methanol_selectivity_based_on_CO2__unitless,1.28569037316339
Molar_methanol_selectivity_based_on_H2__unitless,3.05645547363086
Average_temperature_inside_reactor_tubes__K,534.973624043813
Maximum_temperature_inside_reactor_tubes__K,539.785665631612
Average_kinetic_reaction_rate_of_CO2_hydrogenation_in_time__mol_per_s_kg_cat,0.00467523842459321
Average_kinetic_reaction_rate_of_RWGS_in_time__mol_per_s_kg_cat,-0.0247252353511063
Average_reaction_effectiveness_rate_of_CO2_hydrogenation_in_time__unitless,0.544637593855229
Average_reaction_effectiveness_rate_of_RWGS_in_time__unitless,0.0647914423668422
Average_catalyst_activity_in_time__unitless,1
