State_variable_name_and_unit,Time_instance_1
Time__days,0
Product_stream_mass_flow_in_time__kg_per_s,9.53517984578278
Distillate_bottom_stream_mass_flow_in_time__kg_per_s,5.44892728677462
KO2_gas_stream_mass_flow_in_time__kg_per_s,0.261249093636805
KO2_gas_stream_molar_fraction_of_CO2_in_time__unitless,0.968163438828608
KO2_gas_stream_molar_fraction_of_CO_in_time__unitless,0.00642129515998583
KO2_gas_stream_molar_fraction_of_H2_in_time__unitless,0.022110900848862
KO2_gas_stream_molar_fraction_of_H2O_in_time__unitless,0
KO2_gas_stream_molar_fraction_of_CH3OH_in_time__unitless,0
KO2_gas_stream_molar_fraction_of_N2_in_time__unitless,0.00330436516254391
Purge_stream_mass_flow_in_time__kg_per_s,0.357172045328682
Purge_stream_molar_fraction_of_CO2_in_time__unitless,0.0806635478585354
Purge_stream_molar_fraction_of_CO_in_time__unitless,0.0271393779377864
Purge_stream_molar_fraction_of_H2_in_time__unitless,0.763640397751217
Purge_stream_molar_fraction_of_H2O_in_time__unitless,0.000847540387149896
Purge_stream_molar_fraction_of_CH3OH_in_time__unitless,0.00319595392811693
Purge_stream_molar_fraction_of_N2_in_time__unitless,0.124513182137195
Net_heat_consumed_per_kg_of_methanol_produced__kJ_per_kg,-5769.52093552497
Net_electricity_consumed_per_kg_of_methanol_produced__kJ_per_kg,1029.28784847133
Molar_methanol_yield_based_on_CO2__unitless,0.967083894179121
Molar_methanol_yield_based_on_H2__unitless,0.967083894179121
Molar_conversion_of_CO2__unitless,0.970946996566491
Molar_conversion_of_H2__unitless,0.968603754533703
Molar_methanol_selectivity_based_on_CO2__unitless,0.998430875012131
Molar_methanol_selectivity_based_on_H2__unitless,0.996021304560361
Average_temperature_inside_reactor_tubes__K,535.394263490233
Maximum_temperature_inside_reactor_tubes__K,537.406317912655
Average_kinetic_reaction_rate_of_CO2_hydrogenation_in_time__mol_per_s_kg_cat,0.0267997733642251
Average_kinetic_reaction_rate_of_RWGS_in_time__mol_per_s_kg_cat,0.00147186725199094
Average_reaction_effectiveness_rate_of_CO2_hydrogenation_in_time__unitless,0.200667214344497
Average_reaction_effectiveness_rate_of_RWGS_in_time__unitless,0.245698942951338
Average_catalyst_activity_in_time__unitless,1
