State_variable_name_and_unit,Time_instance_1
Time__days,0
Product_stream_mass_flow_in_time__kg_per_s,9.25997599460582
Distillate_bottom_stream_mass_flow_in_time__kg_per_s,5.54449242356015
KO2_gas_stream_mass_flow_in_time__kg_per_s,0.291730007089087
KO2_gas_stream_molar_fraction_of_CO2_in_time__unitless,0.972249225259275
KO2_gas_stream_molar_fraction_of_CO_in_time__unitless,0.00763527597733663
KO2_gas_stream_molar_fraction_of_H2_in_time__unitless,0.0145476891784812
KO2_gas_stream_molar_fraction_of_H2O_in_time__unitless,0
KO2_gas_stream_molar_fraction_of_CH3OH_in_time__unitless,0
KO2_gas_stream_molar_fraction_of_N2_in_time__unitless,0.00556780958490752
Purge_stream_mass_flow_in_time__kg_per_s,1.18363113778297
Purge_stream_molar_fraction_of_CO2_in_time__unitless,0.0975034953734755
Purge_stream_molar_fraction_of_CO_in_time__unitless,0.0393426456188094
Purge_stream_molar_fraction_of_H2_in_time__unitless,0.603061034738895
Purge_stream_molar_fraction_of_H2O_in_time__unitless,0.000914912083906083
Purge_stream_molar_fraction_of_CH3OH_in_time__unitless,0.00345320016957781
Purge_stream_molar_fraction_of_N2_in_time__unitless,0.255724712015336
Net_heat_consumed_per_kg_of_methanol_produced__kJ_per_kg,-6359.36714691634
Net_electricity_consumed_per_kg_of_methanol_produced__kJ_per_kg,1249.86904144565
Molar_methanol_yield_based_on_CO2__unitless,0.939611610364947
Molar_methanol_yield_based_on_H2__unitless,0.939611610364947
Molar_conversion_of_CO2__unitless,0.951648227411491
Molar_conversion_of_H2__unitless,0.944233514066769
Molar_methanol_selectivity_based_on_CO2__unitless,0.995105126398325
Molar_methanol_selectivity_based_on_H2__unitless,0.987351821082793
Average_temperature_inside_reactor_tubes__K,535.665592461391
Maximum_temperature_inside_reactor_tubes__K,538.272820186007
Average_kinetic_reaction_rate_of_CO2_hydrogenation_in_time__mol_per_s_kg_cat,0.0216480196482725
Average_kinetic_reaction_rate_of_RWGS_in_time__mol_per_s_kg_cat,0.00330365854301802
Average_reaction_effectiveness_rate_of_CO2_hydrogenation_in_time__unitless,0.199618291959672
Average_reaction_effectiveness_rate_of_RWGS_in_time__unitless,0.173582585826115
Average_catalyst_activity_in_time__unitless,1
