State_variable_name_and_unit,Time_instance_1
Time__days,0
Product_stream_mass_flow_in_time__kg_per_s,8.04429666153062
Distillate_bottom_stream_mass_flow_in_time__kg_per_s,4.63017644050264
KO2_gas_stream_mass_flow_in_time__kg_per_s,0.303963739547077
KO2_gas_stream_molar_fraction_of_CO2_in_time__unitless,0.976062390386229
KO2_gas_stream_molar_fraction_of_CO_in_time__unitless,0.00568414881736838
KO2_gas_stream_molar_fraction_of_H2_in_time__unitless,0.0164505059383037
KO2_gas_stream_molar_fraction_of_H2O_in_time__unitless,0
KO2_gas_stream_molar_fraction_of_CH3OH_in_time__unitless,0
KO2_gas_stream_molar_fraction_of_N2_in_time__unitless,0.00180295485809822
Purge_stream_mass_flow_in_time__kg_per_s,0.565430877683684
Purge_stream_molar_fraction_of_CO2_in_time__unitless,0.110932389760877
Purge_stream_molar_fraction_of_CO_in_time__unitless,0.0324579902328029
Purge_stream_molar_fraction_of_H2_in_time__unitless,0.761315736237344
Purge_stream_molar_fraction_of_H2O_in_time__unitless,0.000870615752796757
Purge_stream_molar_fraction_of_CH3OH_in_time__unitless,0.00326821651797685
Purge_stream_molar_fraction_of_N2_in_time__unitless,0.091155051498203
Net_heat_consumed_per_kg_of_methanol_produced__kJ_per_kg,-5764.61389835183
Net_electricity_consumed_per_kg_of_methanol_produced__kJ_per_kg,1047.58363686188
Molar_methanol_yield_based_on_CO2__unitless,0.942909940965729
Molar_methanol_yield_based_on_H2__unitless,0.94290994096573
Molar_conversion_of_CO2__unitless,0.950644123585247
Molar_conversion_of_H2__unitless,0.945959024607489
Molar_methanol_selectivity_based_on_CO2__unitless,0.996776727572291
Molar_methanol_selectivity_based_on_H2__unitless,0.991864271363348
Average_temperature_inside_reactor_tubes__K,535.19442375045
Maximum_temperature_inside_reactor_tubes__K,536.881558367283
Average_kinetic_reaction_rate_of_CO2_hydrogenation_in_time__mol_per_s_kg_cat,0.0144588068162002
Average_kinetic_reaction_rate_of_RWGS_in_time__mol_per_s_kg_cat,0.00514151871970843
Average_reaction_effectiveness_rate_of_CO2_hydrogenation_in_time__unitless,0.275533094348633
Average_reaction_effectiveness_rate_of_RWGS_in_time__unitless,0.28881647730003
Average_catalyst_activity_in_time__unitless,1
