State_variable_name_and_unit,Time_instance_1
Time__days,0
Product_stream_mass_flow_in_time__kg_per_s,7.31236386061234
Distillate_bottom_stream_mass_flow_in_time__kg_per_s,4.49321215976525
KO2_gas_stream_mass_flow_in_time__kg_per_s,0.436904895228607
KO2_gas_stream_molar_fraction_of_CO2_in_time__unitless,0.983365644620914
KO2_gas_stream_molar_fraction_of_CO_in_time__unitless,0.00619746740219212
KO2_gas_stream_molar_fraction_of_H2_in_time__unitless,0.0102374426981434
KO2_gas_stream_molar_fraction_of_H2O_in_time__unitless,0
KO2_gas_stream_molar_fraction_of_CH3OH_in_time__unitless,0
KO2_gas_stream_molar_fraction_of_N2_in_time__unitless,0.000199445278750752
Purge_stream_mass_flow_in_time__kg_per_s,3.36004735591666
Purge_stream_molar_fraction_of_CO2_in_time__unitless,0.176961812592379
Purge_stream_molar_fraction_of_CO_in_time__unitless,0.0568177328747328
Purge_stream_molar_fraction_of_H2_in_time__unitless,0.745711880147026
Purge_stream_molar_fraction_of_H2O_in_time__unitless,0.000934652477905082
Purge_stream_molar_fraction_of_CH3OH_in_time__unitless,0.00347491174388518
Purge_stream_molar_fraction_of_N2_in_time__unitless,0.0160990101640718
Net_heat_consumed_per_kg_of_methanol_produced__kJ_per_kg,-5993.74297694167
Net_electricity_consumed_per_kg_of_methanol_produced__kJ_per_kg,1328.20785595986
Molar_methanol_yield_based_on_CO2__unitless,0.741639846583839
Molar_methanol_yield_based_on_H2__unitless,0.741639846583839
Molar_conversion_of_CO2__unitless,0.799287248631333
Molar_conversion_of_H2__unitless,0.7630677990347
Molar_methanol_selectivity_based_on_CO2__unitless,0.97191867815944
Molar_methanol_selectivity_based_on_H2__unitless,0.927876489777352
Average_temperature_inside_reactor_tubes__K,534.940377827888
Maximum_temperature_inside_reactor_tubes__K,536.114732924958
Average_kinetic_reaction_rate_of_CO2_hydrogenation_in_time__mol_per_s_kg_cat,0.0288442108948201
Average_kinetic_reaction_rate_of_RWGS_in_time__mol_per_s_kg_cat,0.0128228305592752
Average_reaction_effectiveness_rate_of_CO2_hydrogenation_in_time__unitless,0.256377449778247
Average_reaction_effectiveness_rate_of_RWGS_in_time__unitless,0.234844270060968
Average_catalyst_activity_in_time__unitless,0.5
