State_variable_name_and_unit,Time_instance_1
Time__days,0
Product_stream_mass_flow_in_time__kg_per_s,9.27465562823468
Distillate_bottom_stream_mass_flow_in_time__kg_per_s,5.32803843467053
KO2_gas_stream_mass_flow_in_time__kg_per_s,0.358012752080487
KO2_gas_stream_molar_fraction_of_CO2_in_time__unitless,0.976101981428907
KO2_gas_stream_molar_fraction_of_CO_in_time__unitless,0.00609931732441389
KO2_gas_stream_molar_fraction_of_H2_in_time__unitless,0.0164244243214329
KO2_gas_stream_molar_fraction_of_H2O_in_time__unitless,0
KO2_gas_stream_molar_fraction_of_CH3OH_in_time__unitless,0
KO2_gas_stream_molar_fraction_of_N2_in_time__unitless,0.00137427692524615
Purge_stream_mass_flow_in_time__kg_per_s,0.641821456537184
Purge_stream_molar_fraction_of_CO2_in_time__unitless,0.113371708305516
Purge_stream_molar_fraction_of_CO_in_time__unitless,0.0355437460425076
Purge_stream_molar_fraction_of_H2_in_time__unitless,0.776065723758837
Purge_stream_molar_fraction_of_H2O_in_time__unitless,0.000871985585169776
Purge_stream_molar_fraction_of_CH3OH_in_time__unitless,0.00327182413292328
Purge_stream_molar_fraction_of_N2_in_time__unitless,0.0708750121750468
Net_heat_consumed_per_kg_of_methanol_produced__kJ_per_kg,-5756.75731682679
Net_electricity_consumed_per_kg_of_methanol_produced__kJ_per_kg,1056.69276165669
Molar_methanol_yield_based_on_CO2__unitless,0.940660818903219
Molar_methanol_yield_based_on_H2__unitless,0.940660818903219
Molar_conversion_of_CO2_to_methanol_based_on_CO2__unitless,0.949217918671202
Molar_conversion_to_methanol_based_on_H2__unitless,0.943966770664311
Molar_methanol_selectivity_based_on_CO2__unitless,0.996497809177366
Molar_methanol_selectivity_based_on_H2__unitless,0.990985105106357
Average_temperature_inside_reactor_tubes__K,535.317038425252
Maximum_temperature_inside_reactor_tubes__K,536.939502841701
Average_kinetic_reaction_rate_of_CO2_hydrogenation_in_time__mol_per_s_kg_cat,0.0168809160937773
Average_kinetic_reaction_rate_of_RWGS_in_time__mol_per_s_kg_cat,0.00565982125310359
Average_reaction_effectiveness_rate_of_CO2_hydrogenation_in_time__unitless,0.270489259518671
Average_reaction_effectiveness_rate_of_RWGS_in_time__unitless,0.274778395306462
Average_catalyst_activity_in_time__unitless,1
